,UserId,Preferred_Category_Veg_Non_Veg,Lunch
10,10,Vegetarian,"Hara Bara Kabab, Bharwa Aloo, Paneer Tikka, Mushroom Tikka, Mushroom Malai Tikka, Veg Platter, Mushroom 65, Paneer 65, Corn Cheese Ball, French Fries, Mushroom Masala, Paneer Butter Masala, Kadaai Paneer, Veg Lasagna, Jeera Rice, Plain Roti, Lacha Paratha, Gulab Jamun, Chocolate Brownie, Shahi Tukda, Carrot Halwa, Moong daal Halwa, Vanilla Milkshake, Chocolate Milkshake"
11,11,Non-Vegeterian,"Hara Bara Kabab, Chicken Tandoori, Chicken Sheesh Kabab, Chilli Potatoes, Chicken 65, Chicken Drum Sticks, Corn Cheese Ball, Tacos, Fish N Chips, Paneer Tikka Masala, Mughlai Chicken Handi, Veg Lasagna, Barbecue Chicken Breast, Plain Rice, Plain Roti, Butter Roti, Gulab Jamun, Ice-cream, Virgin Mojito"
12,12,Non-Vegeterian,"Veg Cutlet, Paneer Tikka, Mushroom Malai Tikka, Chicken Tikka Dry, Fish Fry, Gobi Manchurian, Schezwan Paneer, French Fries, Herbed Pizza Strips, Potato Focaccia Rolls, Mushroom Masala, Paneer Butter Masala, Butter Chicken, Mutton Kofte, Grilled Chicken with Tomato Basil Risotto, Four Cheese Pizza, Veg biryani, Chicken Pulao, Butter Roti, Lacha Paratha, Gulab Jamun, Ice-cream, Shahi Tukda, Moong daal Halwa, Fresh Lime Soda, Lassi, Ice Tea"
13,13,Non-Vegeterian,"Paneer Tikka, Veg Platter, Chicken Tandoori, Fish Fry, Butter Garlic Prawns, Ginger Prawns, Veg Manchurian, Crispy Corn, Schezwan Mushroom, Paneer Pakoda, Schezwan Paneer, Loose Prawns, Mutton Spring Roll, Chicken Spring Roll, Schezwan Chicken, French Fries, Fish N Chips, Fish Finger Tartar Sauce, French Bread, Italian Open Toast Sandwich, Pan-fried Scamorza with Arugula Salad, Chicken Milanese, Tuscan Lamb Shanks, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Dal Tadka, Mughlai Chicken Handi, Hyderabadi Keema, Hash Brown Potatoes, Chicken Lasagna, Grilled Chicken with Tomato Basil Risotto, Farm Fresh Pizza, Chicken Parmesan, Veg biryani, Chicken Dum Biryani, Butter Roti, Butter Naan, Gulab Jamun, Ice-cream, Moong daal Halwa, Lassi, Vanilla Milkshake, Chocolate Milkshake"
14,14,Non-Vegeterian,"Crispy Corn, Chicken Tandoori, Dal Tadka, Chicken Korma, Chicken Dum Biryani, Butter Roti, Moong daal Halwa, Fresh Lime Soda"
15,15,Non-Vegeterian,"Butter Naan, Moong daal Halwa, Fresh Lime Soda"
16,16,Vegetarian,"Arachu Vitta Sambar, Plain Rice, Chapatji, parotta, Milk basandi"
17,17,Non-Vegeterian,"Veg Cutlet, Veg Dumplings, Veg Pakora, Veg lollipop, Hara Bara Kabab, Seekh Kabab, Bharwa Aloo, Paneer Tikka, Paneer Achari, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Achari, Chicken Malai, Chicken Pakora, Chicken Roast, Pepper Garlic Chicken, Lemon Chicken, Tandoori Fish, Prawns Fry, Golden Prawns, Butter Garlic Prawns, Pepper Prawns, Ginger Prawns, Mushroom Masala, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Veg Kofta, Dal Tadka, Arachu Vitta Sambar, Mughlai Chicken Handi, South Indian Chicken masala, Chicken Chettinad, Chicken Korma, Malvani Chicken Curry, Mutton Kofte, Nihari Gosht, Hyderabadi Keema, Barbeque Chicken with Breast, Chicken Pizza, Plain Rice, Jeera Rice, Matar Pulao, Paneer Pulao, Veg Pulao, Veg biryani, Veg Dum Biryani, Lemon Rice, Chicken Dum Biryani, Chicken Fried Rice, Plain Roti, Butter Roti, Plain Naan, Butter Naan, Garlic Naan, Gulab Jamun, Ice-cream, Kesariya Kheer, Fruit cream, Malai Kulfi, Shahi Tukda, Carrot Halwa, Moong daal Halwa, Fresh Lime Soda, Virgin Mojito"
18,18,Non-Vegeterian,"Hara Bara Kabab, Kadaai Paneer, Plain Rice"
19,19,Vegetarian,"Arachu Vitta Sambar, Plain Rice, Chapatji, parotta, Milk basandi"
20,20,Vegetarian,"Red Velvet Cup Cake, Coke"
21,21,Non-Vegeterian,"Veg Cutlet, Veg Dumplings, Veg Pakora, Veg lollipop, Hara Bara Kabab, Seekh Kabab, Bharwa Aloo, Paneer Tikka, Paneer Achari, Paneer Multani Tikka, Haryali Paneer Tikka, Paneer Amritsari Tikka, Mushroom Tikka, Mushroom Malai Tikka, Veg Platter, Chilli Potatoes, Veg Spring Rolls, Paneer 65, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Achari, Chicken Malai, Chicken Pakora, Chicken Roast, Pepper Garlic Chicken, Lemon Chicken, Cashew Chicken, Chicken RR, Murgh Tangdi Kabab, Mutton Fry, Mutton Seekh Kabab, Mutton Awadhi Kabab, Mutton Pepper Fry, Fish Fry, Golden Prawns, Butter Garlic Prawns, Pepper Prawns, Ginger Prawns, Apollo Fish, Prawns Manchurian, Mutton 65, Pepper Mutton, Mushroom Masala, Paneer Butter Masala, Aloo Gobi Masala, Dal Tadka, Arachu Vitta Sambar, Avial with Kerala Red Rice, Mix Veg Curry, Farm Fresh Pizza, Mughlai Chicken Handi, Butter Chicken, South Indian Chicken masala, Chicken Chettinad, Chicken Korma, Nihari Gosht, Barbeque Chicken with Breast, Chicken Madagascar, Chicken Pepperoni Piza, Plain Rice, Jeera Rice, Matar Pulao, Paneer Pulao, Veg Dum Biryani, Lemon Rice, Chicken Dum Biryani, Mutton Dum Biryani, Mutton Biryani, Plain Roti, Butter Roti, Butter Naan, Garlic Naan, Gulab Jamun, Ice-cream, Chocolate Brownie, Malai Kulfi, Shahi Tukda, Carrot Halwa, Fresh Lime Soda, Lassi, Vanilla Milkshake, Virgin Mojito"
22,22,Non-Vegeterian,"Chilli Potatoes, Chicken Tandoori, Corn Cheese Pizza, Hyderabadi Keema, Chicken Madagascar, Jeera Rice, Butter Roti, Garlic Naan, Ice-cream, Virgin Mojito"
23,23,Vegetarian,"Hara Bara Kabab, Paneer Tikka, Plain Dosa, Lemon Rice, Garlic Naan, Chocolate Brownie, Shahi Tukda, Lassi"
24,24,Non-Vegeterian,"Seekh Kabab, Paneer Tikka, Chilli Potatoes, Veg Manchurian, Gobi Manchurian, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Fry, Mutton Seekh Kabab, Chilli Chicken, Paneer Butter Masala, Corn Cheese Pizza, Mughlai Chicken Handi, Chicken Korma, Mutton Kofte, Barbeque Chicken with Breast, Jeera Rice, Matar Pulao, Chicken Dum Biryani, Chicken Fried Rice, Chicken Pulao, Mutton Dum Biryani, Plain Roti, Butter Roti, Butter Naan, Gulab Jamun, Ice-cream, Kesariya Kheer, Lassi, Chocolate Milkshake, Ice Tea"
25,25,Non-Vegeterian,"Chicken Fry, South Indian Chicken masala, Chicken Dum Biryani, Chicken Fried Rice, Fish Biryani, Ice-cream, Fresh Lime Soda"
26,26,Non-Vegeterian,"Paneer Tikka, Crispy Corn, Baby Corn, Chicken Tandoori, Chicken Achari, Mutton Fry, Mutton Pepper Fry, Fish Fry, Prawns Fry, Pepper Prawns, Ginger Prawns, Chilli Fish, Chilli Prawns, Mutton 65, Pepper Mutton, Chilli Chicken, Chicken 65, Chicken Drum Sticks, Chicken Majestic, Mushroom Masala, Veg Kofta, Dal Tadka, Arachu Vitta Sambar, Mango Kuzhambu, Farm Fresh Pizza, Mughlai Chicken Handi, Chicken Korma, Mutton Kofte, Chicken Pizza, Mutton 65 Pizza, Chicken Kheema Balls Pizza, Plain Rice, Veg Pulao, Chicken Dum Biryani, Mutton Dum Biryani, Fish Biryani, Plain Roti, Butter Roti, Gulab Jamun, Fresh Lime Soda, Lassi"
27,27,Non-Vegeterian,"Chicken Sheesh Kabab, Butter Chicken, Plain Rice, Chicken Dum Biryani, Chicken Fried Rice, Plain Roti, Plain Naan, Butter Naan, Gulab Jamun, Ice-cream, Fruit cream, Chocolate Brownie, Fresh Lime Soda, Lassi, Vanilla Milkshake, Chocolate Milkshake"
28,28,Vegetarian,"Haryali Paneer Tikka, Veg Spring Rolls, Gobi Manchurian, Chilli Paneer, Paneer  Tikka, Paneer Tikka Masala, Dal Tadka, Jeera Rice"
29,29,Non-Vegeterian,"Veg Pakora, Veg lollipop, Seekh Kabab, Bharwa Aloo, Paneer Tikka, Paneer Achari, Paneer Multani Tikka, Haryali Paneer Tikka, Paneer Amritsari Tikka, Mushroom Tikka, Mushroom Malai Tikka, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Baby Corn, Chilli Paneer, Paneer  Tikka, Paneer 65, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Achari, Chicken Malai, Chicken Pakora, Chicken Roast, Pepper Garlic Chicken, Lemon Chicken, Cashew Chicken, Chicken Fry, Chicken RR, Apollo Fish, Chilli Fish, Mushroom Masala, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Veg Kofta, Plain Dosa, Bendekaayi Gojju (Ladys Finger Gravy), Mix Veg Curry, Farm Fresh Pizza, Mughlai Chicken Handi, Butter Chicken, South Indian Chicken masala, Chicken Chettinad, Chicken Korma, Malvani Chicken Curry, Chicken Madagascar, Chicken Pizza, Chicken Pepperoni Piza, Chicken Kheema Balls Pizza, Plain Rice, Paneer Pulao, Chicken Dum Biryani, Chicken Fried Rice, Chicken Pulao, Butter Roti, Plain Naan, Butter Naan, Gulab Jamun, Ice-cream, Fruit cream, Chocolate Brownie, Chocolate Pastry, Fresh Lime Soda, Lassi"
30,30,Non-Vegeterian,"Chicken Tandoori, Plain Dosa, Butter Chicken, South Indian Chicken masala, Chicken Pizza, Chicken Dum Biryani, Plain Naan, Garlic Naan, Lacha Paratha, Gulab Jamun, Moong daal Halwa, Virgin Mojito"
31,31,Non-Vegeterian,"Crispy Corn, Chilli Mushroom, Chicken Tandoori, Chicken Malai, Pepper Prawns, Chicken 65, Butter Chicken, Barbeque Chicken with Breast, Chicken Dum Biryani, Gulab Jamun, Ice-cream, Chocolate Brownie, Virgin Mojito"
32,32,Vegetarian,"Paneer Tikka, Chilli Potatoes, Veg Manchurian, Crispy Corn, Paneer Butter Masala, Veg Kofta, Jeera Rice, Veg biryani, Butter Naan, Gulab Jamun, Ice-cream, Moong daal Halwa, Chocolate Milkshake, Virgin Mojito"
33,33,Non-Vegeterian,"Veg Cutlet, Paneer Tikka, Baby Corn, Chicken Tandoori, Chicken Tikka Dry, Chicken Achari, Chicken Malai, Chicken Pakora, Cashew Chicken, Chicken Fry, Murgh Tangdi Kabab, Mutton Fry, Mutton Seekh Kabab, Mutton Awadhi Kabab, Mutton Cutlet, Prawns Fry, Ginger Prawns, Mutton 65, Chicken Drum Sticks, Paneer Butter Masala, Kadaai Paneer, Mughlai Chicken Handi, Chicken Korma, Plain Rice, Jeera Rice, Plain Roti, Lacha Paratha, Gulab Jamun, Shahi Tukda, Virgin Mojito"
34,34,Non-Vegeterian,"Bharwa Aloo, Paneer Tikka, Mushroom Malai Tikka, Chicken Achari, Chicken Roast, Pepper Garlic Chicken, Kadaai Paneer, Paneer Tikka Masala, Mughlai Chicken Handi, Butter Chicken, Chicken Pizza, Jeera Rice, Veg Dum Biryani, Butter Roti, Garlic Naan, Gulab Jamun, Chocolate Brownie, Lassi"
35,35,Non-Vegeterian,"Paneer Tikka, Chilli Paneer, Chicken Tandoori, Chicken Roast, Paneer Butter Masala, Kadaai Paneer, Mughlai Chicken Handi, Butter Chicken, Chicken Korma, Plain Rice, Jeera Rice, Garlic Naan, Gulab Jamun, Lassi"
36,36,Non-Vegeterian,"Chicken Tandoori, Lemon Chicken, Cashew Chicken, Fish tikka, Prawns Fry, Golden Prawns, Apollo Fish, Chilli Fish, Chilli Chicken, Chicken Drum Sticks, Butter Chicken, Chicken Dum Biryani, Chicken Fried Rice, Prawns Biryani, Chicken Pulao, Mutton Dum Biryani, Fish Biryani, Ice-cream, Fresh Lime Soda"
37,37,Non-Vegeterian,"Chicken Pakora, Cashew Chicken, Chicken 65, Chicken Drum Sticks, Chicken Pizza, Chicken Dum Biryani, Butter Naan, Lacha Paratha, Gulab Jamun, Ice-cream, Malai Kulfi, Shahi Tukda, Carrot Halwa, Vanilla Milkshake, Chocolate Milkshake"
38,38,Non-Vegeterian,"Mushroom Tikka, Chilli Potatoes, Crispy Corn, Chilli Mushroom, Paneer 65, Chicken Sheesh Kabab, Chicken Pakora, Pepper Garlic Chicken, Fish Fry, Pepper Prawns, Chicken Manchurian, Mushroom Masala, Kadaai Paneer, South Indian Chicken masala, Chicken Chettinad, Barbeque Chicken with Breast, Chicken Dum Biryani, Chicken Fried Rice, Prawns Biryani, Garlic Naan, Lacha Paratha, Gulab Jamun, Ice-cream, Chocolate Brownie, Malai Kulfi, Lassi, Vanilla Milkshake"
39,39,Non-Vegeterian,"Paneer Tikka, Mushroom Tikka, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Malai, Chicken Roast, Chicken Fry, Chilli Chicken, Chicken 65, Chicken Drum Sticks, Garlic Naan, Ice-cream, Lassi"
40,40,Non-Vegeterian,"Veg Cutlet, Veg Dumplings, Haryali Paneer Tikka, Veg Platter, Crispy Corn, Gobi Manchurian, Chicken Malai, Pepper Garlic Chicken, Mutton Cutlet, Fish Fry, Chilli Chicken, Chicken Majestic, Paneer Butter Masala, Arachu Vitta Sambar, Avial with Kerala Red Rice, Corn Cheese Pizza, South Indian Chicken masala, Chicken Chettinad, Lemon Rice, Chicken Pulao, Mutton Dum Biryani, Gulab Jamun, Ice-cream, Chocolate Brownie, Malai Kulfi, Fresh Lime Soda"
41,41,Non-Vegeterian,"Paneer Tikka, Chilli Paneer, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Pakora, Murgh Tangdi Kabab, Mutton Fry, Mutton Seekh Kabab, Paneer Tikka Masala, Mughlai Chicken Handi, Mutton Kofte, Matar Pulao, Paneer Pulao, Chicken Dum Biryani, Mutton Biryani, Butter Roti, Butter Naan, Gulab Jamun, Ice-cream, Kesariya Kheer, Fruit cream, Chocolate Pastry, Malai Kulfi, Shahi Tukda, Carrot Halwa, Moong daal Halwa, Chocolate Milkshake"
42,42,Vegetarian,"Mushroom Tikka, Veg Manchurian, Pepper Garlic Chicken, Mutton RR, Chicken Majestic, Avial with Kerala Red Rice, Farm Fresh Pizza, Malvani Chicken Curry, Mutton 65 Pizza, Mutton Dum Biryani, Chocolate Brownie, Fresh Lime Soda"
43,43,Non-Vegeterian,"Mushroom Tikka, Mushroom Malai Tikka, Gobi Manchurian, Chilli Mushroom, Chicken Tandoori, Chicken Tikka Dry, Chicken Achari, Murgh Lasooni Kabab, Prawns Fry, Pepper Prawns, Dal Tadka, Farm Fresh Pizza, Mughlai Chicken Handi, Chicken Chettinad, Jeera Rice, Veg Dum Biryani, Plain Naan, Garlic Naan, Lacha Paratha, Kesariya Kheer, Malai Kulfi, Carrot Halwa, Lassi, Chocolate Milkshake"
44,44,Non-Vegeterian,"Paneer 65, Chicken Roast, Pepper Garlic Chicken, Butter Chicken"
45,45,Vegetarian,"Veg Cutlet, Paneer Tikka, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Chicken Tandoori, Pepper Garlic Chicken, Mutton Fry, Fish Fry, Butter Garlic Prawns, Chicken 65, Kadaai Paneer, Mix Veg Curry, Farm Fresh Pizza, Butter Chicken, Jeera Rice, Veg Pulao, Veg Dum Biryani, Mutton Dum Biryani, Mutton Biryani, Fish Biryani, Butter Roti, Garlic Naan, Lacha Paratha, Fruit cream, Carrot Halwa, Moong daal Halwa, Fresh Lime Soda"
46,46,Vegetarian,"Mushroom Tikka, Veg Platter, Veg Manchurian, Crispy Corn, Gobi Manchurian, Mushroom Masala, Plain Dosa, Dal Tadka, Farm Fresh Pizza, Matar Pulao, Plain Roti, Butter Roti, Butter Naan, Garlic Naan, Gulab Jamun, Ice-cream, Chocolate Brownie, Carrot Halwa, Chocolate Milkshake"
47,47,Non-Vegeterian,"Veg lollipop, Paneer Multani Tikka, Crispy Corn, Baby Corn, Gobi Manchurian, Paneer  Tikka, Chicken Tandoori, Pepper Garlic Chicken, Cashew Chicken, Chicken Fry, Fish Fry, Butter Garlic Prawns, Apollo Fish, Chilli Chicken, Paneer Butter Masala, Kadaai Paneer, Mix Veg Curry, Mughlai Chicken Handi, Chicken Pizza, Jeera Rice, Paneer Pulao, Veg Dum Biryani, Mutton Dum Biryani, Mixed Non-Veg Fried Rice, Butter Roti, Butter Naan, Lacha Paratha, Gulab Jamun, Ice-cream, Carrot Halwa, Moong daal Halwa, Lassi, Vanilla Milkshake"
48,48,Vegetarian,"Chilli Potatoes, Veg Spring Rolls, Chilli Paneer, Chicken Tandoori, Paneer Butter Masala, Corn Cheese Pizza, Jeera Rice, Butter Naan, Gulab Jamun, Ice-cream, Fresh Lime Soda, Ice Tea"
49,49,Vegetarian,"Veg Cutlet, Veg lollipop, Paneer Tikka, Paneer Achari, Mushroom Malai Tikka, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Baby Corn, Paneer  Tikka, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Pakora, Pepper Garlic Chicken, Lemon Chicken, Cashew Chicken, Chicken Fry, Chilli Prawns, Mutton 65, Chicken Drum Sticks, Mushroom Masala, Paneer Butter Masala, Dal Tadka, Mango Kuzhambu, Farm Fresh Pizza, Corn Cheese Pizza, Mughlai Chicken Handi, South Indian Chicken masala, Malvani Chicken Curry, Chicken Madagascar, Chicken Pizza, Mutton 65 Pizza, Plain Rice, Jeera Rice, Veg biryani, Lemon Rice, Chicken Fried Rice, Plain Roti, Garlic Naan, Gulab Jamun, Ice-cream, Fruit cream, Carrot Halwa, Lassi, Vanilla Milkshake, Chocolate Milkshake, Virgin Mojito"
50,50,Non-Vegeterian,"Hara Bara Kabab, Mushroom Malai Tikka, Crispy Corn, Chilli Mushroom, Chilli Paneer, Chicken Malai, Mutton Seekh Kabab, Mutton Awadhi Kabab, Kadaai Paneer, Aloo Gobi Masala, Dal Tadka, Butter Chicken, South Indian Chicken masala, Plain Rice, Jeera Rice, Veg Dum Biryani, Mixed Non-Veg Fried Rice, Mix-Veg Fried Rice, Plain Roti, Butter Roti, Plain Naan, Kesariya Kheer, Chocolate Brownie, Malai Kulfi, Fresh Lime Soda, Lassi"
51,51,Non-Vegeterian,"Veg Cutlet, Veg Dumplings, Veg Pakora, Veg lollipop, Hara Bara Kabab, Seekh Kabab, Bharwa Aloo, Paneer Tikka, Paneer Achari, Paneer Multani Tikka, Haryali Paneer Tikka, Paneer Amritsari Tikka, Mushroom Tikka, Mushroom Malai Tikka, Veg Platter, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Crispy Corn, Baby Corn, Gobi Manchurian, Chilli Mushroom, Chilli Paneer, Paneer  Tikka, Paneer 65, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Achari, Chicken Malai, Chicken Pakora, Chicken Roast, Pepper Garlic Chicken, Lemon Chicken, Cashew Chicken, Chicken Fry, Chicken RR, Murgh Tangdi Kabab, Murgh Lasooni Kabab, Mutton Fry, Mutton RR, Mutton Seekh Kabab, Mutton Awadhi Kabab, Mutton Cutlet, Mutton Pepper Fry, Fish tikka, Fish Fry, Tandoori Fish, Prawns Fry, Golden Prawns, Butter Garlic Prawns, Pepper Prawns, Ginger Prawns, Apollo Fish, Chilli Fish, Fish Manchurian, Loose Prawns, Prawns Manchurian, Chilli Prawns, Mutton 65, Pepper Mutton, Chicken Manchurian, Chilli Chicken, Chicken 65, Chicken Drum Sticks, Chicken Majestic, Mushroom Masala, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Veg Kofta, Aloo Gobi Masala, Plain Dosa, Dal Tadka, Arachu Vitta Sambar, Avial with Kerala Red Rice, Bendekaayi Gojju (Ladys Finger Gravy), Mango Kuzhambu, Mix Veg Curry, Farm Fresh Pizza, Corn Cheese Pizza, Margarita Pizza, Hyderabadi Keema, Veg Pulao, Lacha Paratha, Malai Kulfi, Virgin Mojito"
52,52,Non-Vegeterian,"Seekh Kabab, Paneer Tikka, Chicken Tandoori, Chicken Malai, Fish tikka, Butter Chicken, Butter Naan, Garlic Naan, Gulab Jamun, Chocolate Brownie, Fresh Lime Soda, Virgin Mojito"
53,53,Non-Vegeterian,"Lacha Paratha, Shahi Tukda"
54,54,Non-Vegeterian,"Paneer Tikka, Crispy Corn, Chicken Sheesh Kabab, Chocolate Brownie, Malai Kulfi, Fresh Lime Soda"
